"","ethnicity","sex","agegrp","qualification","hours","income"
"2371","European","female",35,3,60,1266
"2372","European","female",60,1,43,993
"2373","European","female",40,1,40,594
"2374","European","female",35,3,30,479
"2375","European","male",60,2,40,920
"2376","European","male",25,3,40,1205
"2377","European","female",45,4,30,558
"2378","European","female",55,3,24,510
"2379","Asian","male",60,1,50,880
"2380","European","female",55,4,60,1660
"2381","European","female",55,3,40,565
"2382","European","female",35,3,46,646
"2383","Pacific","female",50,1,9,253
"2384","Asian","female",45,4,37,849
"2385","European","female",50,3,20,259
"2386","European","female",55,2,50,885
"2387","European","female",15,2,35,638
"2388","European","male",40,4,60,3397
"2389","Maori","male",20,3,40.5,634
"2390","European","male",45,4,40,1269
"2391","European","male",65,4,16,234
"2392","European","female",40,2,35,1831
"2393","European","male",35,4,48,1410
"2394","Pacific","female",25,1,28,420
"2395","Asian","female",15,1,40,621
"2396","European","female",55,2,16,417
"2397","European","female",50,2,47.5,761
"2398","Maori","male",20,2,4.5,139
"2399","European","male",20,2,40,833
"2400","European","female",15,2,30,725
"2401","European","female",35,2,40,630
"2402","European","female",20,2,40,550
"2403","Asian","male",40,4,41.5,763
"2404","European","female",20,2,46.5,772
"2405","Pacific","male",20,1,3,72
"2406","European","male",25,3,47.5,921
"2407","European","female",35,2,40,1590
"2408","European","female",35,3,40,1743
"2409","Maori","male",30,2,57,1300
"2410","European","male",45,2,40,1846
"2411","European","female",50,2,60,1688
"2412","Maori","female",20,1,40,791
"2413","European","female",50,1,18,1648
"2414","European","female",35,2,40,1319
"2415","European","male",45,1,55,739
"2416","European","male",20,2,55,978
"2417","European","male",20,2,48,1048
"2418","European","female",55,1,40,969
"2419","Asian","female",20,3,2.5,35
"2420","European","male",25,2,70,1488
"2421","European","male",35,3,45,742
"2422","European","male",50,2,4,203
"2423","European","male",30,3,40,1036
"2424","European","male",55,3,41,609
"2425","European","female",50,2,24,1418
"2426","European","female",55,3,20,412
"2427","European","male",50,2,50,957
"2428","European","male",20,2,40,587
"2429","European","male",65,2,55,990
"2430","European","male",15,1,10,228
"2431","Asian","female",60,3,10,530
"2432","European","female",15,1,5,206
"2433","European","female",40,3,37.5,727
"2434","Asian","female",35,2,40,1477
"2435","Maori","male",50,1,12,194
"2436","European","male",20,3,40,601
"2437","European","female",25,4,40,1814
"2438","European","female",25,2,42.5,601
"2439","European","male",45,2,40,765
"2440","European","female",45,2,9.5,356
"2441","European","female",55,3,42.5,1043
"2442","European","male",55,3,40,1070
"2443","Asian","male",15,2,30,513
"2444","European","male",30,3,24,490
"2445","European","male",50,3,40,1005
"2446","European","male",45,3,37,1902
"2447","European","female",25,4,9,117
"2448","European","male",30,3,40,742
"2449","European","male",40,3,40,836
"2450","European","male",30,3,35,1282
"2451","European","female",20,2,66,1426
"2452","European","female",55,1,39,1215
"2453","European","female",50,3,40,787
"2454","European","female",60,4,40,2232
"2455","European","female",65,3,40,1122
"2456","European","male",25,1,18.5,351
"2457","European","male",50,3,45,681
"2458","European","female",65,1,40,522
"2459","Maori","male",20,2,40,587
"2460","European","female",55,3,30,1320
"2461","Maori","male",20,1,40,549
"2462","European","male",60,3,30,764
"2463","European","female",30,3,30,929
"2464","Pacific","female",40,3,4,233
"2465","European","male",45,2,50,2154
"2466","European","female",30,4,40,1371
"2467","Asian","male",25,4,60,1859
"2468","Pacific","female",20,2,50,614
"2469","European","female",50,3,40,1070
"2470","European","male",45,4,36,1763
"2471","European","female",65,1,3.5,193
"2472","European","female",45,1,15,890
"2473","European","female",15,2,3,35
"2474","European","female",60,2,40,1033
"2475","European","female",20,4,42.5,480
"2476","European","male",25,3,40,794
"2477","European","female",20,2,40,587
"2478","European","male",45,2,50,904
"2479","European","female",65,2,25,686
"2480","Maori","female",50,3,20,641
"2481","Asian","male",30,4,40,950
"2482","European","male",40,2,24,364
"2483","European","female",45,2,40,992
"2484","Asian","male",40,4,40,651
"2485","European","male",30,2,40,1563
"2486","European","female",55,3,28,753
"2487","European","male",25,2,20,263
"2488","European","female",55,4,40,863
"2489","European","male",40,1,3,50
"2490","European","male",60,3,40,844
"2491","European","female",15,2,9.5,120
"2492","Asian","male",20,2,34.5,683
"2493","European","female",55,2,27.5,2321
"2494","European","female",30,4,32.5,492
"2495","Asian","female",35,4,37.5,1317
"2496","European","male",40,1,40,1020
"2497","Asian","female",25,1,3,134
"2498","European","female",20,2,32,491
"2499","European","male",30,3,41.5,1628
"2500","European","male",60,2,45,937
"2501","European","male",15,2,38.5,584
"2502","European","female",55,3,40,1132
"2503","Asian","male",35,4,60,1726
"2504","European","female",35,2,37,1271
"2505","European","male",65,1,34.5,1432
"2506","Asian","female",35,4,30,1095
"2507","European","male",50,2,46,971
"2508","Asian","female",25,4,37,1324
"2509","Pacific","male",15,1,40,796
"2510","European","male",45,1,57,481
"2511","European","male",15,2,72,1386
"2512","European","female",35,3,40,883
"2513","Pacific","female",35,3,47.5,1731
"2514","Pacific","female",40,4,17,524
"2515","European","female",55,1,8,593
"2516","European","female",45,3,30,2397
"2517","European","male",55,3,30,2589
"2518","European","male",45,2,40,1139
"2519","Asian","female",60,1,21,997
"2520","Asian","female",60,2,35,472
"2521","European","male",50,3,60,940
"2522","Asian","female",60,1,65,5139
"2523","European","female",40,3,40,792
"2524","European","male",50,4,40,1105
"2525","European","male",60,1,40,563
"2526","European","female",30,3,28,1087
"2527","Asian","female",40,4,20,287
"2528","Pacific","female",30,3,15,1273
"2529","European","male",35,3,40,1793
"2530","European","female",25,4,32,1227
"2531","European","female",35,2,40,621
"2532","European","male",30,3,40,888
"2533","European","female",45,3,2,45
"2534","Asian","male",20,4,40,880
"2535","European","female",55,3,40,742
"2536","European","female",35,2,37.5,915
"2537","Maori","male",60,1,55,1342
"2538","European","male",60,2,35,2505
"2539","European","female",30,4,37,622
"2540","Pacific","female",25,3,2,42
"2541","European","male",50,3,40,990
"2542","European","male",45,3,48,712
"2543","European","female",15,2,6,261
"2544","European","male",45,1,43,1106
"2545","European","male",30,4,40,1650
"2546","European","male",15,1,23,344
"2547","European","female",15,1,4,33
"2548","European","female",50,2,15,243
"2549","European","female",50,4,40,1045
"2550","European","male",25,3,40,1188
"2551","European","male",35,1,41.5,737
"2552","European","male",20,3,50,759
"2553","European","male",40,2,45,1734
"2554","European","male",15,1,24,225
"2555","Pacific","female",45,1,29.5,242
"2556","European","male",30,3,40,1566
"2557","European","male",45,2,40,1688
"2558","European","female",30,1,40,826
"2559","European","male",20,3,40,660
"2560","European","male",65,4,20,537
"2561","Maori","female",20,2,12,185
"2562","Pacific","male",60,1,40,699
"2563","European","male",50,3,40,630
"2564","European","male",20,2,40,576
"2565","European","female",35,4,37,859
"2566","European","male",45,4,40,1903
"2567","European","male",50,3,40,1070
"2568","Pacific","male",40,1,60,2371
"2569","Asian","male",20,1,80,1227
"2570","European","female",25,2,36,622
"2571","European","female",20,2,28,462
"2572","European","female",55,2,34.5,797
"2573","European","female",25,4,40,972
"2574","European","male",40,2,42.5,2082
"2575","European","female",30,4,40,1372
"2576","Asian","female",20,3,40,704
"2577","European","female",45,3,39,955
"2578","European","male",65,1,4.5,530
"2579","European","female",50,4,37.5,1320
"2580","European","female",60,4,24,454
"2581","Maori","female",25,2,16,533
"2582","European","male",20,3,50,990
"2583","Maori","female",55,4,37.5,1139
"2584","European","male",30,4,40,1561
"2585","European","male",50,1,40,724
"2586","European","male",45,2,20,511
"2587","Asian","female",40,2,27,786
"2588","European","male",40,2,56,1854
"2589","Pacific","male",60,1,40,1188
"2590","European","female",30,3,20,388
"2591","European","female",25,3,40,778
"2592","European","female",45,3,40,1122
"2593","European","female",40,2,45,1937
"2594","European","female",45,2,55,704
"2595","European","female",25,4,37.5,549
"2596","European","male",50,3,54,1620
"2597","European","male",35,4,40,1435
"2598","European","female",30,3,37.5,967
"2599","European","male",55,1,60,1486
"2600","European","male",15,2,40,720
"2601","European","male",40,1,45,1047
"2602","European","female",20,3,43,503
"2603","European","male",55,3,40,1287
"2604","European","male",40,4,41.5,801
"2605","European","female",35,3,32,752
"2606","European","male",20,1,40,725
"2607","Asian","male",25,4,40,725
"2608","European","male",40,3,40,805
"2609","European","male",25,3,55,2234
"2610","Pacific","female",25,3,21,400
"2611","European","male",35,3,40,648
"2612","European","female",30,2,20,938
"2613","Asian","male",40,4,45,1845
"2614","European","male",25,1,40,863
"2615","European","male",15,1,37.5,518
"2616","European","female",55,3,38,1416
"2617","European","male",40,3,40,1435
"2618","Asian","male",20,4,50,870
"2619","European","male",45,3,40,874
"2620","European","female",25,4,40,943
"2621","European","female",55,2,30,453
"2622","European","male",55,2,44,706
"2623","European","female",55,4,4,152
"2624","European","female",45,4,40,881
"2625","European","female",25,2,30,990
"2626","European","male",60,2,40,3789
"2627","European","female",45,1,39,1275
"2628","Pacific","female",20,3,28,378
"2629","European","female",15,2,37.5,577
"2630","European","female",30,4,30,513
"2631","European","male",45,3,40,639
"2632","Maori","male",20,1,40,576
"2633","European","female",30,3,46,1123
"2634","European","female",20,1,40,612
"2635","Maori","female",25,1,45,803
"2636","European","male",25,2,53,1185
"2637","European","male",55,4,84,1584
"2638","European","male",45,3,8,276
"2639","European","female",40,2,37,1582
"2640","European","female",55,2,50,789
"2641","European","male",20,3,40,720
"2642","Asian","female",25,1,30,1063
"2643","European","female",20,2,34,544
"2644","Asian","male",15,1,7.5,87
"2645","European","male",35,4,36,1789
"2646","European","female",30,2,14,405
"2647","European","male",65,1,40,932
"2648","European","female",30,4,7,369
"2649","European","female",25,3,3,361
"2650","European","female",40,2,41,785
"2651","European","male",40,3,40,767
"2652","European","male",35,1,40,660
"2653","European","female",50,3,40,1113
"2654","European","female",60,4,40,1624
"2655","European","male",20,3,40,836
"2656","Maori","female",20,1,20.5,258
"2657","European","male",50,3,40,1614
"2658","European","female",50,3,40,886
"2659","European","male",20,4,20,270
"2660","Asian","female",45,3,8,235
"2661","European","male",20,2,37.5,768
"2662","European","male",30,3,48,1848
"2663","Asian","male",30,3,45,1076
"2664","European","male",30,3,45,1173
"2665","European","female",30,4,50,794
"2666","European","female",45,1,35,491
"2667","European","female",50,2,23,638
"2668","European","male",50,1,40,701
"2669","European","female",45,1,25,330
"2670","European","male",40,3,48,1160
"2671","European","male",50,2,48,1320
"2672","European","male",40,3,60,1121
"2673","Asian","female",20,2,37.5,974
"2674","Pacific","male",15,2,40,996
"2675","European","male",40,1,40,720
"2676","Maori","male",40,1,52,842
"2677","European","male",40,1,50,2301
"2678","Maori","male",50,1,40,1688
"2679","European","female",25,4,50,2439
"2680","European","female",55,1,41.5,1036
"2681","European","male",40,2,8,382
"2682","European","female",50,4,40,1650
"2683","Pacific","male",45,1,47,1271
"2684","European","female",15,2,34.5,825
"2685","Asian","female",20,4,38,1287
"2686","European","female",50,3,16,224
"2687","European","male",25,4,37,2025
"2688","Maori","female",55,3,38,797
"2689","Maori","female",30,3,3,55
"2690","European","male",25,4,42.5,1100
"2691","European","female",40,3,13,314
"2692","European","male",40,2,45,1112
"2693","European","female",60,4,40,1191
"2694","Maori","male",20,3,40,612
"2695","European","male",45,3,40,900
"2696","European","male",50,2,60,1753
"2697","European","female",55,3,24,281
"2698","European","male",20,3,40,770
"2699","European","male",30,2,48,1435
"2700","European","male",65,4,42,575
"2701","European","male",25,2,40,1122
"2702","European","female",20,2,40,561
"2703","European","female",35,4,37,596
"2704","European","male",30,4,40,470
"2705","Asian","female",20,4,50,914
"2706","European","male",40,3,40,1350
"2707","Maori","female",60,1,40,867
"2708","European","male",45,3,40,558
"2709","European","female",30,2,31.5,482
"2710","European","female",35,3,27,441
"2711","European","female",50,2,40,792
"2712","European","female",65,1,30,595
"2713","European","male",50,3,40,593
"2714","European","male",35,3,40,1260
"2715","Maori","female",50,4,40,1899
"2716","European","male",45,4,40,1208
"2717","European","female",55,3,45,1089
"2718","European","female",25,4,40,866
"2719","European","male",25,4,45,1370
"2720","European","male",55,3,45,1012
"2721","European","female",30,4,17.5,346
"2722","European","female",30,3,8,159
"2723","European","female",65,1,8.5,133
"2724","European","male",65,3,40,561
"2725","European","female",55,1,12,154
"2726","Asian","female",35,4,31.5,1002
"2727","Maori","female",20,2,40,784
"2728","European","female",50,3,30,570
"2729","Asian","male",25,4,39.5,837
"2730","Asian","male",40,2,44,874
"2731","European","male",45,3,36,1634
"2732","European","male",45,3,60,2864
"2733","European","female",40,3,24,396
"2734","Asian","female",60,1,40,627
"2735","European","female",40,3,37,1323
"2736","European","female",25,3,37.5,915
"2737","European","male",30,3,40,696
"2738","European","female",45,4,50,1606
"2739","European","male",60,4,62,1364
"2740","Maori","male",45,1,40,720
"2741","European","female",60,1,16,202
"2742","European","male",50,3,40,1156
"2743","European","male",30,1,40,792
"2744","Maori","male",15,1,40,669
"2745","European","female",30,3,38,560
"2746","Asian","female",55,2,15,887
"2747","Asian","female",30,4,28,315
"2748","European","female",45,3,2,115
"2749","European","female",65,1,30,690
"2750","Asian","male",20,4,55,838
"2751","European","female",55,4,40,1666
"2752","European","female",60,4,2,32
"2753","European","male",50,1,45,949
"2754","European","female",25,2,40,967
"2755","Asian","male",25,3,40,863
"2756","European","female",50,3,62.5,1447
"2757","European","male",50,2,40,1467
"2758","European","male",25,3,60,756
"2759","Maori","female",35,4,16,533
"2760","European","male",25,3,52,1489
"2761","European","male",35,3,40,1540
"2762","European","female",25,1,40,1031
"2763","European","male",55,3,48,6660
"2764","European","male",40,3,42,1181
"2765","European","female",25,4,42.5,608
"2766","Maori","female",25,4,38,768
"2767","European","male",45,1,42,1457
"2768","Asian","female",55,1,38,784
"2769","European","male",45,4,65,1377
"2770","European","male",30,3,50,970
"2771","European","male",50,2,42,635
"2772","European","male",50,3,40,1312
"2773","Asian","male",25,3,46,809
"2774","European","male",45,3,40,814
"2775","European","female",40,1,38.5,686
"2776","European","female",50,3,20,730
"2777","European","male",55,4,45,619
"2778","European","male",65,1,32,458
"2779","European","female",65,3,40,1582
"2780","European","female",30,4,11,348
"2781","European","female",20,2,45,388
"2782","European","male",55,4,45,897
"2783","European","male",40,3,48,907
"2784","European","male",65,2,17.5,371
"2785","European","female",40,4,5.5,377
"2786","European","male",65,1,40,814
"2787","European","female",35,4,40,1208
"2788","European","male",25,1,40,1150
"2789","European","female",50,3,22,968
"2790","European","female",15,1,45,760
"2791","European","male",20,3,40,836
"2792","European","male",50,3,40,1435
"2793","European","female",50,3,4,201
"2794","European","male",40,3,40,862
"2795","European","male",65,1,45,813
"2796","Asian","male",20,1,40,735
"2797","European","female",20,4,19,383
"2798","Asian","female",25,3,40,1574
"2799","European","female",30,3,24,909
"2800","European","male",20,2,40,658
"2801","European","male",25,3,40,726
"2802","Maori","female",35,3,40,949
"2803","Asian","female",30,4,25,675
"2804","European","female",40,3,9.5,327
"2805","European","male",55,3,45,875
"2806","European","female",15,2,50,598
"2807","European","female",30,3,8,166
"2808","European","male",25,3,42,819
"2809","European","female",60,2,15,261
"2810","European","female",15,1,50,744
"2811","European","female",25,4,40,594
"2812","Maori","female",45,1,37,984
"2813","European","male",30,3,32,980
"2814","Asian","female",20,2,40,832
"2815","European","male",40,4,40,2075
"2816","European","female",35,3,40,1287
"2817","European","female",65,2,14,183
"2818","European","male",20,3,30,429
"2819","Asian","male",20,2,40,374
"2820","European","female",55,2,40,1075
"2821","Pacific","male",40,2,43,3564
"2822","European","female",65,1,40,1019
"2823","European","female",40,2,40,725
"2824","European","male",50,1,55,1358
"2825","Asian","male",35,4,40,1122
"2826","European","female",50,4,37.5,1332
"2827","European","female",45,4,39,913
"2828","European","male",35,4,44,1148
"2829","European","male",65,1,40,468
"2830","European","female",50,4,36,1084
"2831","European","female",25,2,30,378
"2832","European","female",50,4,35.5,1177
"2833","European","female",20,2,3.5,54
"2834","Pacific","female",40,1,27.5,799
"2835","European","male",30,3,40,563
"2836","European","male",60,3,40,540
"2837","Maori","female",35,3,32,387
"2838","European","male",50,3,65,1082
"2839","European","female",40,3,40,835
"2840","European","male",20,2,30,825
"2841","European","female",20,3,40,880
"2842","European","male",45,4,17.5,232
"2843","Asian","female",50,4,40,935
"2844","Maori","male",20,2,14,308
"2845","European","female",25,4,16,575
"2846","Pacific","male",35,1,40,926
"2847","European","female",20,2,30,364
"2848","European","male",45,4,40.5,1196
"2849","European","female",65,3,40,792
"2850","European","male",55,2,45,942
"2851","European","male",15,1,40,1329
"2852","European","female",45,4,15,1807
"2853","Maori","male",35,4,40,738
"2854","European","female",30,4,40,1057
"2855","European","female",45,3,20.5,636
"2856","European","male",20,2,37.5,967
"2857","European","male",40,4,40,1219
"2858","European","female",50,3,15,437
"2859","European","female",35,3,40,1101
"2860","European","male",40,3,54,426
"2861","European","male",20,2,40,481
"2862","European","male",15,3,40,648
"2863","European","female",25,2,36,420
"2864","European","male",40,3,40,720
"2865","Asian","female",30,2,42.5,385
"2866","European","male",35,3,40,725
"2867","European","female",30,3,8,246
"2868","European","male",25,3,50,733
"2869","European","male",25,4,40,980
"2870","European","male",40,3,28,637
"2871","Asian","female",50,2,40,918
"2872","European","male",60,2,40,1224
"2873","Asian","male",50,3,40,648
"2874","European","male",35,1,55,1270
"2875","European","female",55,3,40,1688
"2876","European","female",60,3,40,1076
"2877","European","male",25,3,25,398
"2878","European","male",20,3,37,863
"2879","Asian","male",35,1,4,64
"2880","European","female",45,3,40,874
"2881","European","female",40,3,39,1442
"2882","European","female",40,2,35,844
"2883","European","female",40,2,45,1238
"2884","European","male",40,3,52,1404
"2885","European","male",25,3,40,884
"2886","European","female",20,2,42,696
"2887","Maori","male",30,3,40,1001
"2888","European","male",15,3,8,150
"2889","European","female",25,3,50,900
"2890","European","female",65,2,40,715
"2891","Asian","male",15,1,50,1100
"2892","European","female",20,4,23,454
"2893","Asian","male",40,4,45,526
"2894","European","female",45,2,31.5,890
"2895","European","female",40,4,40,1422
"2896","European","male",25,3,42.5,747
"2897","European","male",20,2,11,99
"2898","European","female",35,4,18,267
"2899","European","male",50,4,48,1193
"2900","Pacific","female",20,2,90,1497
"2901","European","male",20,3,40,641
"2902","European","male",50,3,43.5,1885
"2903","Maori","female",20,2,44,759
"2904","European","male",35,3,44,973
"2905","European","male",60,4,40,836
"2906","European","female",40,3,10,847
"2907","European","female",60,4,35,501
"2908","Pacific","female",35,2,7,776
"2909","European","male",65,3,4,99
"2910","European","female",20,4,16,326
"2911","European","female",65,1,28,1229
"2912","Maori","male",45,3,46,1275
"2913","European","male",60,3,40,792
"2914","European","male",40,4,40,1070
"2915","Pacific","female",35,1,37,738
"2916","Asian","female",45,4,37.5,1962
"2917","Asian","female",30,2,40,1298
"2918","European","male",65,2,40,1214
"2919","Asian","male",15,2,40,486
"2920","European","female",55,2,40,1793
"2921","European","female",65,4,40,1055
"2922","Pacific","male",60,1,40,1302
"2923","European","female",65,2,37,875
"2924","European","male",60,4,20,878
"2925","European","male",50,3,45,492
"2926","European","male",40,4,72,1806
"2927","European","male",25,3,40,949
"2928","European","male",40,1,42.5,1185
"2929","Maori","male",45,1,20,835
"2930","Asian","male",30,3,40,1772
"2931","European","female",35,2,9,571
"2932","European","female",50,3,32,1101
"2933","European","male",35,3,40,540
"2934","European","female",15,2,37.5,705
"2935","European","female",20,4,37,713
"2936","European","female",55,3,37.5,587
"2937","European","male",45,2,50,715
"2938","European","male",20,2,40,725
"2939","European","male",40,4,45,720
"2940","European","female",25,3,3,58
"2941","European","female",20,3,24,544
"2942","European","female",30,4,30,945
"2943","Maori","female",50,2,43,1390
"2944","European","male",40,4,3,65
"2945","European","male",20,1,42.5,414
"2946","European","male",25,2,41.5,502
"2947","European","male",30,4,46,1269
"2948","European","male",35,4,42.5,526
"2949","European","male",30,1,60,810
"2950","European","male",40,3,22,778
"2951","European","male",25,3,45,932
"2952","European","female",35,1,40,1161
"2953","Asian","male",60,1,50,1283
"2954","European","female",40,3,40,823
"2955","European","female",20,4,5,157
"2956","Maori","male",45,3,40,604
"2957","European","female",25,3,28,776
"2958","European","female",45,1,40,616
"2959","European","female",60,2,50,1571
"2960","Pacific","female",20,3,15,215
"2961","European","female",25,3,33,895
"2962","European","female",50,3,1.5,70
"2963","European","female",35,3,33,619
"2964","European","female",45,2,46,671
"2965","European","female",60,1,32,738
"2966","European","female",45,1,24,465
"2967","European","male",35,3,40,1519
"2968","European","female",45,2,6,246
"2969","European","female",55,4,38,872
"2970","European","male",45,3,40,831
"2971","European","female",30,4,37.5,1055
"2972","European","female",55,4,27,7457
"2973","Maori","female",30,1,4,317
"2974","Pacific","male",20,3,40,633
"2975","European","female",60,3,35,693
"2976","European","male",50,4,40,2244
"2977","Asian","male",15,2,40,705
"2978","European","female",50,3,38,962
"2979","European","male",45,2,60,1520
"2980","European","male",50,1,40,1487
"2981","Asian","male",45,4,40,1605
"2982","European","female",30,2,40,1172
"2983","European","male",20,3,47,922
"2984","European","female",30,1,12,223
"2985","European","male",25,3,55,1099
"2986","Maori","female",20,2,40,949
"2987","European","male",55,4,40,638
"2988","European","female",50,3,37.5,730
"2989","European","female",40,4,30,429
"2990","European","male",25,4,40,819
"2991","European","male",25,4,40,792
"2992","Asian","female",45,4,4,73
"2993","European","male",50,3,32,793
"2994","European","male",35,3,40,628
"2995","European","male",25,3,40,711
"2996","Asian","female",25,4,30,554
"2997","European","male",35,4,40,1857
"2998","European","female",20,4,48,614
"2999","Asian","female",25,4,40,561
"3000","European","male",65,2,40,792
"3001","Asian","male",30,4,50,1989
"3002","European","female",35,4,40,1070
"3003","European","female",40,2,60,1404
"3004","European","male",30,1,40,1498
"3005","European","female",50,3,16,576
"3006","European","male",35,2,40,672
"3007","Pacific","male",55,1,45,799
"3008","European","female",20,4,37.5,472
"3009","European","male",50,3,55,2006
"3010","Asian","female",30,4,40,675
"3011","European","female",20,4,9,107
"3012","European","male",45,3,53,266
"3013","European","female",20,2,1,34
"3014","Asian","male",25,3,55,396
"3015","Asian","female",50,3,40,689
"3016","European","female",55,2,50,5310
"3017","Maori","female",20,1,30,493
"3018","European","female",30,3,40,810
"3019","European","male",25,3,49,647
"3020","Asian","female",50,2,6,106
"3021","European","female",20,1,40,1160
"3022","European","male",25,3,47.5,1195
"3023","European","male",40,3,25,450
"3024","European","male",55,4,47,1136
"3025","Asian","female",50,4,40,1263
"3026","European","male",45,2,40,1355
"3027","European","female",50,1,40,886
"3028","Pacific","female",15,1,6,84
"3029","Asian","male",20,1,40,520
"3030","European","female",25,3,37.5,1728
"3031","Asian","male",40,2,35,1790
"3032","European","male",35,4,45,1505
"3033","European","male",45,4,40,964
"3034","European","female",35,3,37,754
"3035","Maori","male",65,3,40,830
"3036","Asian","female",40,3,20,844
"3037","European","female",15,1,37.5,726
"3038","Pacific","male",20,3,40,616
"3039","European","male",25,1,40,880
"3040","European","male",65,3,4,341
"3041","European","male",25,3,43.5,763
"3042","European","male",20,1,40,601
"3043","European","male",45,3,43,792
"3044","European","male",15,2,30.5,384
"3045","European","female",25,2,40,345
"3046","European","female",25,4,38,697
"3047","European","female",40,4,40,1166
"3048","European","male",25,3,65,2123
"3049","European","male",50,2,50,652
"3050","European","female",35,3,44,1050
"3051","Pacific","female",15,1,19.5,237
"3052","European","female",65,3,5,84
"3053","European","female",45,3,40,710
"3054","European","male",25,3,45,894
"3055","European","female",50,2,40,1265
"3056","European","female",35,4,8,143
"3057","European","female",25,3,35,1244
"3058","European","male",30,4,8,94
"3059","European","male",30,4,40,557
"3060","European","male",65,2,40,1001
"3061","European","female",25,3,40,1145
"3062","Maori","male",15,1,40,717
"3063","European","male",50,4,44,1943
"3064","European","male",55,3,45,675
"3065","Asian","female",25,4,5,71
"3066","Asian","female",35,4,36,1102
"3067","Asian","female",45,4,18,368
"3068","European","female",25,4,20,521
"3069","Maori","male",35,2,40,898
"3070","Asian","male",35,4,37.5,871
"3071","European","female",40,3,42.5,934
"3072","European","male",25,2,40,1070
"3073","European","male",15,1,40,486
"3074","European","female",45,2,37,1203
"3075","European","male",50,2,40,765
"3076","European","male",25,3,40,486
"3077","European","female",35,4,37,733
"3078","European","male",30,3,37.5,1495
"3079","Maori","male",20,1,30,497
"3080","European","male",40,2,60,2870
"3081","European","male",45,3,45,1207
"3082","European","female",20,3,50,715
"3083","European","male",50,3,40,900
"3084","European","male",55,3,36,1712
"3085","Pacific","male",35,2,40,1203
"3086","European","female",15,2,20,399
"3087","European","female",55,4,5,456
"3088","European","female",55,3,40,1371
"3089","European","male",25,3,40,867
"3090","European","male",30,2,45,587
"3091","European","female",45,2,40,585
"3092","Asian","female",50,3,60,4744
"3093","European","female",55,2,20,460
"3094","Pacific","female",35,2,24,1341
"3095","European","male",25,2,35,642
"3096","European","male",60,1,45,921
"3097","European","male",35,3,40,1903
"3098","European","male",40,3,20,811
"3099","European","male",20,2,30,462
"3100","European","female",35,4,45,1096
"3101","European","female",30,4,40,637
"3102","European","female",55,3,36,1520
"3103","European","female",50,3,40,1085
"3104","European","female",30,4,16,673
"3105","Maori","male",55,2,15,314
"3106","European","male",55,3,45,824
"3107","Maori","male",30,2,37,1073
"3108","European","female",20,2,48.5,604
"3109","European","male",20,3,45,749
"3110","European","female",65,1,8.5,301
"3111","European","male",20,1,20,288
"3112","European","male",50,3,42,964
"3113","European","female",30,4,45,839
"3114","European","male",60,3,65,2971
"3115","European","male",15,2,40,1188
"3116","European","male",25,4,45,1881
"3117","European","female",65,3,28,886
"3118","European","male",65,3,7,295
"3119","Maori","female",45,3,5.5,161
"3120","European","female",60,4,40,1624
"3121","European","female",65,4,30,669
"3122","European","male",50,2,40,1078
"3123","European","male",55,1,55,323
"3124","European","male",60,3,45,1652
"3125","European","male",30,4,46,1059
"3126","European","female",60,3,33,893
"3127","European","male",30,3,40,1080
"3128","European","male",45,2,45,358
"3129","Asian","male",25,4,38.5,720
"3130","European","female",40,3,30,485
"3131","European","female",30,4,28,788
"3132","European","female",60,4,43,1494
"3133","European","female",35,4,35,597
"3134","European","female",30,3,40,649
"3135","European","male",25,1,40,791
"3136","European","male",20,2,33,1045
"3137","European","male",45,1,40,1224
"3138","European","female",45,2,40,949
"3139","Asian","male",40,1,42.5,1122
"3140","Maori","male",20,1,10,140
"3141","European","female",20,2,40,1484
"3142","Pacific","male",35,2,42,1073
"3143","Pacific","male",15,2,12,168
"3144","European","female",25,2,8,116
"3145","European","male",25,2,40,725
"3146","European","female",50,4,50,1174
"3147","European","male",45,3,26.5,598
"3148","European","female",45,3,40,540
"3149","European","male",20,2,40,802
"3150","European","male",45,3,40,1208
"3151","Maori","male",20,2,50,959
"3152","European","female",35,1,24,373
"3153","Asian","male",30,4,44,859
"3154","European","female",35,1,16,711
"3155","European","female",60,4,43,1179
"3156","Pacific","female",20,3,37,1837
"3157","Maori","female",35,1,20,432
"3158","European","female",50,2,38,747
"3159","European","male",45,2,20,583
"3160","Maori","male",45,1,65,868
"3161","European","female",20,4,35,539
"3162","European","female",40,4,37.5,2289
"3163","European","male",50,3,40,1564
"3164","Maori","male",40,1,40,506
"3165","European","male",40,4,53,5354
"3166","European","male",35,3,50,2813
"3167","European","female",45,3,4,84
"3168","Maori","male",55,4,70,3165
"3169","European","female",50,4,32,1135
"3170","Asian","female",30,4,40,935
"3171","European","male",25,3,50,1585
"3172","European","male",55,4,30,779
"3173","Maori","male",30,2,40,697
"3174","European","male",50,3,40,737
"3175","European","male",55,2,42.5,516
"3176","European","male",65,3,27.5,696
"3177","European","male",60,1,40,804
"3178","European","male",50,4,52,898
"3179","European","female",60,4,40,1105
"3180","European","female",50,1,22.5,438
"3181","Maori","male",30,1,40,495
"3182","Maori","male",20,1,42,728
"3183","European","male",15,1,44,675
"3184","European","female",40,4,40,1330
"3185","European","male",60,3,37.5,811
"3186","Asian","female",55,4,23.5,839
"3187","Asian","female",40,4,40,3882
"3188","European","female",50,3,25,450
